,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
97809,49497,Katharine Holmes,F,23.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",
97810,49497,Katharine Holmes,F,23.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",
97960,49581,"Maxwell Philip ""Max"" Holt",M,29.0,208.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
98116,49661,Daryl Homer,M,26.0,173.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",Silver
98577,49891,Lindsey Michelle Horan,F,22.0,175.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
99162,50176,Cyrus Dean Hostetler,M,29.0,188.0,95.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,
99277,50240,Shelby Houlihan,F,23.0,160.0,54.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",
99453,50337,Chaunte LaTasha Howard-Lowe,F,32.0,176.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,
100395,50778,Molly Huddle (-Benninger),F,31.0,166.0,48.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",
100593,50861,"David ""Dave"" Hughes",M,38.0,185.0,71.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,
100616,50875,Madison John Hughes,M,23.0,173.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
101133,51133,Courtney Lyn Hurley,F,25.0,173.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",
101134,51133,Courtney Lyn Hurley,F,25.0,173.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",
101137,51134,Kelley Anne Hurley,F,28.0,175.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",
101138,51134,Kelley Anne Hurley,F,28.0,175.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",
102816,52020,Race Alick Reid Imboden,M,23.0,185.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Bronze
102995,52109,Emily Infeld,F,26.0,163.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",
103368,52302,Martin Iosefo,M,26.0,187.0,95.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
103417,52321,Kristian Bettega Ipsen,M,23.0,170.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,
103530,52383,Kyrie Andrew Irving,M,24.0,190.0,87.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
103630,52427,Isabella Isaksen (-El-Geziry),F,22.0,173.0,63.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,
103634,52429,Margaux Isaksen,F,24.0,178.0,60.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,
103898,52577,Carlin Russell Isles,M,26.0,173.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
105320,53283,Connor Jaeger,M,25.0,185.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,
105321,53283,Connor Jaeger,M,25.0,185.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
105329,53289,"Thomas ""Tom"" Jaeschke",M,22.0,198.0,91.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
