ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
23640,Morgan Craft,F,23.0,160.0,64.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Shooting,"[""Shooting Women's Skeet""]",[nan]
23657,"Kameryn Louise ""Kami"" Craig",F,29.0,181.0,88.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Women's Water Polo""]",['Gold']
23665,Brooke Leeann Crain,F,23.0,160.0,55.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Women's BMX""]",[nan]
23680,Lauren Crandall,F,31.0,161.0,58.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Hockey,"[""Hockey Women's Hockey""]",[nan]
23974,Ryan Crouser,M,23.0,201.0,125.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Shot Put""]",['Gold']
23975,"Samuel ""Sam"" Crouser",M,24.0,198.0,105.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Javelin Throw""]",[nan]
24339,Logan Perry Cunningham,M,25.0,175.0,73.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Pole Vault""]",[nan]
24344,Vashti Cunningham,F,18.0,185.0,56.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's High Jump""]",[nan]
24352,Luca Cupido,M,20.0,188.0,95.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Men's Water Polo""]",[nan]
24584,"Abigail ""Abbey"" D'Agostino",F,24.0,160.0,50.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 5,000 metres""]",[nan]
24981,"Phillip Peter ""Phil"" Dalhausser",M,36.0,206.0,93.0,United States-1,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Beach Volleyball,"[""Beach Volleyball Men's Beach Volleyball""]",[nan]
25040,"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Gymnastics,"[""Gymnastics Men's Horse Vault"", ""Gymnastics Men's Team All-Around"", ""Gymnastics Men's Horizontal Bar"", ""Gymnastics Men's Floor Exercise"", ""Gymnastics Men's Parallel Bars"", ""Gymnastics Men's Rings""]",[nan]
25663,Desiree Nicole Davila-Linden,F,33.0,155.0,43.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's Marathon""]",[nan]
25709,Lucy Davis,F,23.0,165.0,55.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Equestrianism,"['Equestrianism Mixed Jumping, Team', 'Equestrianism Mixed Jumping, Individual']","[nan, 'Silver']"
25738,Lea Davison,F,33.0,168.0,55.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Women's Mountainbike, Cross-Country""]",[nan]
25799,Rachel Dawson,F,31.0,178.0,68.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Hockey,"[""Hockey Women's Hockey""]",[nan]
27263,Angelica Delgado,F,25.0,160.0,52.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Judo,"[""Judo Women's Half-Lightweight""]",[nan]
27357,Elena Delle Donne,F,26.0,195.0,86.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Women's Basketball""]",['Gold']
27380,"Cynthia ""Janay"" DeLoach (-Soukup)",F,30.0,166.0,58.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's Long Jump""]",[nan]
27393,"Nicholas ""Nick"" Delpopolo",M,27.0,173.0,77.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Judo,"[""Judo Men's Lightweight""]",[nan]
27630,Daniel Paul Dennis-Kengott,M,29.0,165.0,57.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Wrestling,"[""Wrestling Men's Featherweight, Freestyle""]",[nan]
27743,DeMar Darnell DeRozan,M,26.0,201.0,99.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Men's Basketball""]",['Gold']
27750,Eli Dershwitz,M,20.0,185.0,77.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Fencing,"[""Fencing Men's Sabre, Individual""]",[nan]
28734,"Madeline Jane ""Maya"" DiRado",F,23.0,175.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Women's 200 metres Backstroke"", ""Swimming Women's 400 metres Individual Medley"", ""Swimming Women's 200 metres Individual Medley"", ""Swimming Women's 4 x 200 metres Freestyle Relay""]","['Bronze', 'Gold', 'Silver']"
28746,Michael DiSanto,M,26.0,185.0,91.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rowing,"[""Rowing Men's Coxed Eights""]",[nan]
28878,Tervel Ivaylov Dlagnev,M,30.0,188.0,122.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Wrestling,"[""Wrestling Men's Super-Heavyweight, Freestyle""]",[nan]
29292,Sam Dommer,M,24.0,188.0,92.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rowing,"[""Rowing Men's Coxed Eights""]",[nan]
29444,Logan Dooley,M,28.0,175.0,59.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Trampolining,"[""Trampolining Men's Individual""]",[nan]
29520,Sam Dorman,M,24.0,175.0,77.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Diving,"[""Diving Men's Synchronized Springboard""]",['Silver']
29686,"Gabrielle Christina Victoria ""Gabby"" Douglas",F,20.0,157.0,50.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Gymnastics,"[""Gymnastics Women's Balance Beam"", ""Gymnastics Women's Uneven Bars"", ""Gymnastics Women's Team All-Around"", ""Gymnastics Women's Floor Exercise"", ""Gymnastics Women's Individual All-Around""]","[nan, 'Gold']"
29817,Lauren Doyle,F,25.0,168.0,68.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rugby Sevens,"[""Rugby Sevens Women's Rugby Sevens""]",[nan]
29989,Caeleb Remel Dressel,M,19.0,191.0,86.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 100 metres Freestyle"", ""Swimming Men's 4 x 100 metres Medley Relay"", ""Swimming Men's 4 x 100 metres Freestyle Relay""]","[nan, 'Gold']"
30676,Crystal Alyssia Dunn,F,24.0,157.0,56.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Football,"[""Football Women's Football""]",[nan]
30713,Thomas Dunstan,M,18.0,194.0,96.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Men's Water Polo""]",[nan]
30807,Kevin Wayne Durant,M,27.0,206.0,105.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Basketball,"[""Basketball Men's Basketball""]",['Gold']
30869,Andrew Durutalo,M,28.0,188.0,107.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rugby Sevens,"[""Rugby Sevens Men's Rugby Sevens""]",[nan]
30918,Phillip Peter Dutton,M,52.0,168.0,68.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Equestrianism,"['Equestrianism Mixed Three-Day Event, Team', 'Equestrianism Mixed Three-Day Event, Individual']","['Bronze', nan]"
31012,Conor James Dwyer,M,27.0,196.0,89.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 200 metres Freestyle"", ""Swimming Men's 4 x 200 metres Freestyle Relay"", ""Swimming Men's 400 metres Freestyle""]","['Bronze', nan, 'Gold']"
