ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,EventMedal
131614,Kelsi Worrell,Female,22.0,180.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"['4 x 100 metres Medley Relay', '100 metres Butterfly']","['Did Not Place', 'Gold']",4 x 100 metres Medley Relay: Gold; 100 metres Butterfly: Did Not Place
131654,Dagmara Wozniak (Woniak-),Female,28.0,173.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"['Sabre, Individual', 'Sabre, Team']","['Did Not Place', 'Bronze']","Sabre, Team: Bronze; Sabre, Individual: Did Not Place"
131789,"Yue ""Jennifer"" Wu",Female,26.0,160.0,51.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,"['Singles', 'Team']",['Did Not Place'],Singles: Did Not Place; Team: Did Not Place
131937,"Christopher Thomas ""Chris"" Wyles",Male,32.0,183.0,93.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,['Rugby Sevens'],['Did Not Place'],Rugby Sevens: Did Not Place
133218,Katrina Young,Female,24.0,163.0,60.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,['Platform'],['Did Not Place'],Platform: Did Not Place
133659,Katie Zaferes (Hursey-),Female,27.0,173.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,['Olympic Distance'],['Did Not Place'],Olympic Distance: Did Not Place
133685,Mariel Leigh Zagunis,Female,31.0,173.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"['Sabre, Individual', 'Sabre, Team']","['Did Not Place', 'Bronze']","Sabre, Team: Bronze; Sabre, Individual: Did Not Place"
134337,Laura Yihan Zeng,Female,16.0,160.0,43.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,['Individual'],['Did Not Place'],Individual: Did Not Place
134508,Lily Ann Zhang,Female,20.0,166.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,"['Singles', 'Team']",['Did Not Place'],Singles: Did Not Place; Team: Did Not Place
134730,Jiaqi Zheng,Female,28.0,165.0,43.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,['Team'],['Did Not Place'],Team: Did Not Place
134960,"Zachery ""Zach"" Ziemek",Male,23.0,193.0,89.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['Decathlon'],['Did Not Place'],Decathlon: Did Not Place
